Date,Month,FuturePrice,Last Future,Price Move,Gross Withdrawals,Gross Withdrawals from Gas Wells,Gross Withdrawals from Oil Wells,Gross Withdrawals from Shale Gas,Gross Withdrawals from Coalbed Wells,Repressuring,Nonhydrocarbon Gases Removed from Natural Gas,Vented and Flared,Marketed Production,Plant Liquids Production (Million Cubic Feet),Dry Production,Delivered to Consumers,Residential Consumption,Deliveries to Commercial Consumers,Industrial Consumption,Vehicle Fuel Consumption,Deliveries to Electric Power Consumers,Delta Gross Withdraw,Delta Withdraws from Gas Wells,Delta Withdraw from Oil Wells,Delta Withdrawals from Shale Gas,Delta Withdrawals from Coalbed Wells,Delta Repressuring,Delta Nonhydrocarbon Gases Removed,Delta Vented and Flared,Delta Marketed Production,Delta Plant Liquids Production,Delta Dry Production,Delta Delivered to Consumers,Delta Residential Consumption,Delta Deliveries to Commercial,Delta Industrial Consumption,Delta Vehicle Fuel Consumption,Delta Deliveries to Electric Power,Imports,Pipeline Imports,Liquefied Imports,Exports,Pipeline Exports,Liquefied Exports,Working Storage,Net Withdraws,Delta Imports,Delta Pipeline Imports,Delta Liquefied Imports,Delta Exports,Delta Pipeline Exports,Delta Liquefied Exports,Delta Working Storage,Delta Net Withdraws,Non-Comm Net Stded,Delta Non-Comm Net,HDD Region 1,HDD Region 2,HDD Region 3,HDD Region 4,HDD Region 5,HDD Region 6,HDD Region 7,HDD Region 8,HDD Region 9,HDD CONUS,HDD Delta Avg Region 1,HDD Delta Avg Region 2,HDD Delta Avg Region 3,HDD Delta Avg Region 4,HDD Delta Avg Region 5,HDD Delta Avg Region 6,HDD Delta Avg Region 7,HDD Delta Avg Region 8,HDD Delta Avg Region 9,HDD Delta Avg CONUS,
1-Sep-2014,9,4.121,3.911,0.21,2625503,841238,501031,1176663,106571,269913,24974,24072,2306544,134893,2171651,1635485,121736,148913,590989,2900,770947,211098,-18008,63483,172135,-6513,12578,5069,2370,191081,22615,168465,46767,3933,6987,15951,431,19465,201622,195856,5745,119891,116987,2904,3187016,-421532,-42259,-31075,-11205,-2530,-5423,2892,-377489,-67005,-186286,-11747,4.6,3.2,4.3,4.1,0.4,0.4,0.1,2.5,0.9,1.9,0.44,-0.02,0.52,0.38,0,-0.1,0.06,0.06,-0.32,-0.02,
1-Oct-2014,10,3.649,4.121,-0.472,2735719,844552,528124,1255581,107461,282926,23393,22330,2407070,140772,2266298,1730740,212079,202359,609917,2997,703390,222547,-52870,76940,210583,-12108,12441,-5005,641,214470,24400,190070,49926,-10589,-4312,-1967,445,66352,220858,213858,6973,115069,112156,2904,3587270,-400299,428,-1013,1414,-7337,-10225,2888,-229726,-144678,-229240,-42954,11.4,10.2,13.2,12.7,3.4,5.2,0.9,7.7,3.2,6.8,-1.86,-1.62,-0.24,-1.66,-1.1,-1.3,-1.76,-3.42,-2.88,-1.78,
1-Nov-2014,11,4.282,3.649,0.633,2661917,810902,531983,1215058,103975,298572,25034,23795,2314517,135360,2179157,2167984,543538,361530,659624,2900,600392,206748,-53023,64763,205486,-10477,37073,-3249,2014,170911,21589,149323,49476,26009,16398,7266,431,-627,227485,227457,0,120861,120814,27,3426869,161011,8792,11456,-2692,7179,9902,-2720,-178468,-49821,-192915,36325,25.7,25.4,30.5,33.4,14.4,20.4,12.8,21.2,10.7,20.2,2.92,3.52,6.82,8.36,3.28,5.42,4.14,1.3,-2.38,3.4,
1-Dec-2014,12,3.094,4.282,-1.188,2770080,833795,571017,1257899,107369,311256,25315,23307,2410202,140956,2269247,2475535,716907,426751,690112,2997,638769,244113,-48154,65598,232396,-5727,4617,5644,1538,232315,25365,206951,-224576,-131288,-47097,-16612,445,-30023,253736,245694,8011,136982,136932,28,3141222,286401,-19445,-24759,5283,19653,19651,2,251330,-427834,-240119,-47204,29.9,28.9,32.4,35.2,15.2,19.9,13.6,26.6,15.6,22.5,-3.06,-2.54,-3.18,-4.94,-1.98,-2.82,-3.42,-3.32,-3.06,-3.1,
1-Jan-2015,1,2.981,3.094,-0.113,2790052,822957,558973,1303184,104938,305164,37004,27532,2420352,143561,2276791,2903574,937954,532631,718319,3345,711324,210033,-19360,40984,198124,-9715,-9466,-4621,2563,221557,14969,206588,-93571,-99243,-39113,-4008,348,48443,279397,267751,11616,144522,141663,2832,2407122,725144,-15959,-19036,3080,9715,6917,2803,482200,-245425,-228747,11372,42.1,40.4,42.4,40.5,20.2,26.6,19.8,26.9,14,28.4,3.6,3.26,0.92,-3.14,-0.18,0.14,1.8,-2.26,-2.26,0.12,
1-Feb-2015,2,2.902,2.981,-0.079,2520509,738852,503459,1183482,94715,267063,34465,21994,2196987,130312,2066675,2730693,902364,517341,659623,3022,648343,163531,-50245,38413,184114,-8753,-8351,10574,-2640,163948,11414,152534,174655,49437,27236,433,315,97234,254230,241996,12202,144955,142190,2748,1665549,741529,8808,425,8378,6405,6363,54,465562,13367,-234381,-5634,49.4,47,49.8,46.6,23.4,31,18.1,21.4,10.6,31,12.84,11.82,10.6,5.54,5.86,8,2.16,-6,-6.18,4.66,
1-Mar-2015,3,2.64,2.902,-0.262,2827524,810904,576451,1336504,103665,322674,36875,24856,2443119,144911,2298208,2392542,633081,385772,661612,3345,708731,203610,-70462,55436,229311,-10674,16992,10588,49,175981,12322,163659,27249,-66840,-35162,-19022,348,147923,257274,242585,14651,163967,163925,23,1471476,193465,23085,11127,11950,14459,14470,-5,614165,-159989,-223036,11345,35.1,32.4,30.3,25.5,11.1,13.7,8.5,14.9,7.9,18.5,7.28,6.64,3.44,-1.36,-0.72,-0.68,0.44,-3.24,-5.18,0.52,
1-Apr-2015,4,2.517,2.64,-0.123,2758730,789264,564258,1305443,99765,300452,35068,24770,2398440,142261,2256179,1826933,319285,232201,607933,3238,664276,174857,-55394,63403,175587,-8739,16719,6219,1156,150763,10810,139953,40169,-36857,-18837,-19852,338,115377,205120,202209,2883,130328,130283,24,1793086,-321286,4451,4575,-123,8400,8406,-1,726706,-103845,-247052,-24016,19.3,16.1,15,13.4,4.3,4.7,1.6,12.2,8.7,9.7,2.02,1.02,-0.32,-1.96,-0.2,-0.62,-0.76,-0.82,-1.38,-0.46,
1-May-2015,5,2.822,2.517,0.305,2790849,803572,549783,1335558,101936,283529,37732,26874,2442713,144887,2297826,1678755,177570,160511,602843,3345,734486,157596,-48893,50231,166329,-10070,12794,11398,748,132655,9788,122867,42553,-25886,-16242,-3224,348,87557,204348,202623,1707,134274,131477,2769,2287238,-496427,-2309,-1218,-1099,20169,19302,862,739294,-18786,-205710,41342,5,3.5,4.6,6.2,0.8,1,0.4,7.3,5.9,3.5,-2.22,-1.7,-0.86,-0.2,-0.34,-0.7,-0.28,0.28,-0.06,-0.68,
1-Jun-2015,6,2.832,2.822,0.01,2660158,773933,501219,1287771,97235,239883,36435,25425,2358416,139887,2218529,1723906,124066,135446,574682,3238,886475,100125,-61577,18142,154699,-11140,-22400,10976,217,111334,8471,102863,147398,-1530,-6005,-11129,338,165725,206273,203656,2598,138179,135382,2774,2646533,-361564,4618,11827,-7202,18315,15554,2757,641058,101073,-222622,-16912,3.5,1.5,1,0.6,0.1,0.1,0,0.6,0.8,0.6,1.52,0.6,0.26,-0.3,0.08,0.08,0,-1.08,-1.58,-0.32,
1-Jul-2015,7,2.821,2.832,-0.011,2756222,794462,515730,1346412,99619,247328,37089,27051,2444753,145008,2299745,1882675,108160,133728,591900,3345,1045542,127066,-69049,72491,134184,-10558,39983,11642,2046,73394,6324,67070,180931,-4625,-3881,-13151,348,202239,216973,209779,7173,143820,141027,2771,2924427,-284140,15797,14929,868,16519,16565,-56,524453,115363,-216664,5959,0.1,0.1,0.2,0.2,0,0,0,0.2,0.2,0,0.04,0.04,0,0.02,0,0,0,0.12,-0.32,-0.06,
1-Aug-2015,8,2.685,2.821,-0.136,2744748,780568,502509,1361877,99794,230901,39291,27021,2447534,145173,2302361,1867936,102855,135279,599867,3345,1026590,99811,-103439,65481,148148,-10379,22298,13278,973,63261,5734,57527,116292,-2332,-1843,-8666,348,128784,213875,202649,11205,144885,142117,2763,3241632,-309162,7321,-2319,9638,29509,29604,-100,473234,64339,-233602,-16938,0,0.2,0.4,0.6,0,0,0,0.2,0.2,0.1,-0.24,0.06,0.24,0.34,0,0,0,0,-0.14,0.02,
1-Sep-2015,9,2.586,2.685,-0.099,2721449,770977,545621,1308824,96026,280179,35569,22169,2383531,141377,2242155,1723960,108491,138126,579061,3238,895044,95946,-70261,44590,132161,-10545,10266,10595,-1903,76987,6484,70504,88475,-13245,-10787,-11928,338,124097,208818,203150,5654,162573,159806,2767,3614081,-372021,7196,7294,-91,42682,42819,-137,427065,49511,-243778,-10176,2.1,1.2,1.4,1.8,0.1,0.3,0,1.7,1.7,1,-1.88,-1.94,-2.76,-2.28,-0.32,-0.2,-0.04,-0.7,0.54,-0.96,
1-Oct-2015,10,2.092,2.586,-0.494,2806078,777128,570799,1359164,98986,302167,38600,20269,2445042,145025,2300017,1804380,201540,194961,612994,3345,791541,70359,-67424,42675,103583,-8475,19241,15207,-2061,37972,4253,33719,73640,-10539,-7398,3077,348,88151,226286,217576,8689,158517,155744,2769,3942279,-330832,5428,3718,1716,43448,43588,-135,355009,69467,-218558,25221,14.7,12.9,11.4,11.2,4.2,4.7,0.9,7.3,2.8,7.1,2.46,1.9,-1.36,-1.8,0.02,-1.32,-1.14,-2.52,-2.48,-0.74,
1-Nov-2015,11,2.2,2.092,0.108,2726220,746850,564178,1320749,94442,310245,40501,19237,2356237,139758,2216479,2064029,406610,283231,638537,3238,732413,64303,-64052,32195,105691,-9533,11673,15467,-4558,41720,4398,37322,-103955,-136928,-78299,-21087,338,132021,218242,210704,7515,155739,152750,2969,3926822,12306,-9243,-16753,7515,34878,31936,2942,499953,-148705,-214871,3687,20.1,17.7,19.8,21.6,7.7,10.3,6.9,22.1,14.6,14.6,-3.86,-5.58,-5.84,-5.96,-4.42,-6.02,-2.86,1.72,1.84,-3.3,
1-Dec-2015,12,2.372,2.2,0.172,2812110,761813,584648,1370350,95299,322685,32160,22345,2434920,144425,2290495,2389902,590911,352506,674532,3345,768606,42030,-71982,13631,112451,-12070,11429,6845,-962,24718,3469,21248,-85633,-125996,-74245,-15580,348,129837,227257,221613,5618,161754,158555,3172,3666632,264337,-26479,-24081,-2393,24772,21623,3144,525410,-22064,-211491,3379,22.9,20.2,24.7,30.7,8.4,12.6,11.3,29.5,19.1,18.5,-8.98,-10.3,-9.96,-7.8,-8.1,-9.2,-4.32,1.06,1.4,-6.02,
1-Jan-2016,1,2.18,2.372,-0.192,2823104,638346,575737,1515623,93398,323332,41849,22548,2435375,155035,2280340,2880714,878936,503093,721171,3560,773954,33052,-184611,16764,212439,-11540,18168,4845,-4984,15023,11474,3549,-22860,-59018,-29538,2852,215,62630,273600,261521,12048,168521,168470,26,2938089,728666,-5797,-6230,432,23999,26807,-2806,530967,3522,-197648,13843,36,36,39.3,41.5,20.8,27,17.7,29.5,17.5,28,-3.22,-1.82,-2.12,-0.84,1.04,1.22,-0.1,0.84,1.66,-0.02,
1-Feb-2016,2,1.782,2.18,-0.398,2653842,616281,524352,1426005,87204,299216,25281,18824,2310521,147087,2163435,2459545,690077,413548,662790,3330,689800,133333,-122571,20893,242523,-7511,32153,-9184,-3170,113534,16775,96760,-271148,-212287,-103793,3167,308,41457,251775,242019,9728,162757,159426,3309,2534293,403091,-2455,23,-2474,17802,17236,561,868744,-338438,-182354,15294,33.8,32.2,34.2,33.3,17.2,20.5,10.7,21.8,11,22.3,-5.58,-5.12,-6.98,-8.34,-0.36,-2.82,-4.62,-4.3,-4.76,-4.5,
1-Mar-2016,3,1.903,1.782,0.121,2824983,672249,559755,1499248,93731,320612,41483,20912,2441976,155455,2286521,2164467,455001,298447,662694,3560,744765,-2541,-138655,-16696,162744,-9934,-2062,4608,-3944,-1143,10544,-11687,-228075,-178080,-87325,1082,215,36034,240764,232164,8568,194915,184816,10078,2486323,48583,-16510,-10421,-6083,30948,20891,10055,1014847,-144882,-156217,26137,24.3,20.9,21.5,21,7.5,9.7,5,16.3,11.5,14.2,-5.86,-7.02,-6.7,-6.08,-4.08,-4.16,-2.72,-0.78,-0.42,-4.02,
1-Apr-2016,4,2.032,1.903,0.129,2678610,616021,505035,1468682,88872,272439,25608,19009,2361554,150335,2211218,1903501,328059,233059,620045,3445,718893,-80120,-173243,-59223,163239,-10893,-28013,-9460,-5761,-36886,8074,-44961,76568,8774,858,12112,207,54617,241317,236522,4767,177853,167789,10036,2645560,-164479,36197,34313,1884,47525,37506,10012,852474,156807,-105962,50255,19.8,17.3,16.7,14.3,5,5.2,1.7,11.6,7.1,10.1,1.52,1.36,0.52,-1.7,0.34,-0.28,-0.62,-1.06,-2.14,-0.24,
1-May-2016,5,2.288,2.032,0.256,2767844,622639,536119,1518351,90735,298044,38561,18764,2412475,153577,2258898,1785885,193922,171297,612675,3560,804431,-23005,-180933,-13664,182793,-11201,14515,829,-8110,-30238,8690,-38928,107130,16352,10786,9832,215,69945,248317,243088,5200,188274,178375,9874,2966266,-328551,43969,40465,3493,54000,46898,7105,679028,167876,-150990,-45028,8.8,7.9,7.1,6.3,2,2.2,0.6,6.8,4.9,4.8,1.78,3,1.8,0.02,0.88,0.5,-0.1,0.1,-0.6,0.82,
1-Jun-2016,6,2.917,2.288,0.629,2628164,589857,488158,1463590,86558,259498,37047,19331,2312288,147199,2165089,1825125,122640,138340,590392,3445,970308,-31994,-184076,-13061,175819,-10677,19615,612,-6094,-46128,7312,-53440,101219,-1426,2894,15710,207,83833,241885,234229,7638,183013,166551,16445,3186033,-222328,35612,30573,5040,44834,31169,13671,539500,139236,-129544,21446,1.3,0.7,0.5,0.4,0,0,0,0.8,1.6,0.5,-1.06,-0.34,-0.36,-0.48,-0.04,-0.04,0,-0.64,-0.46,-0.36,
1-Jul-2016,7,2.712,2.917,-0.205,2721210,603497,504249,1523883,89582,274540,15866,21890,2408915,153350,2255564,2001036,106420,134609,616480,3560,1139968,-35012,-190965,-11481,177471,-10037,27212,-21223,-5161,-35838,8342,-44181,118361,-1740,881,24580,215,94426,265022,259224,5773,188682,172923,15739,3318139,-133067,48049,49445,-1400,44862,31896,12968,393712,151073,-131185,-1641,0.2,0,0.1,0.1,0,0,0,0.1,0.6,0,0.16,-0.06,-0.12,-0.12,0,0,0,0.04,0.18,-0.04,
1-Aug-2016,8,2.827,2.712,0.115,2722631,590207,520679,1521640,90105,282492,31303,19023,2389813,152134,2237678,2023229,100455,140436,627541,3560,1151236,-22117,-190361,18170,159763,-9689,51591,-7988,-7998,-57721,6961,-64683,155293,-2400,5157,27674,215,124646,261983,253883,8082,214226,187458,26768,3441325,-123765,48108,51234,-3123,69341,45341,24005,199693,185397,-92479,38706,0,0,0,0.2,0,0,0,0.2,0.3,0,-0.18,-0.18,-0.24,-0.14,0,0,0,0.04,0.1,-0.06,
1-Sep-2016,9,2.996,2.827,0.169,2626213,584167,505551,1448961,87534,273711,38011,17090,2297402,146252,2151150,1774412,109782,142031,603868,3445,915286,-95236,-186810,-40070,140137,-8492,-6468,2442,-5079,-86129,4875,-91005,50452,1291,3905,24807,207,20242,238491,235594,2882,201986,185222,16764,3705161,-262387,29673,32444,-2772,39413,25416,13997,91080,109634,-44649,47829,1.2,0.9,0.6,1.8,0,0.1,0,2.2,1.5,0.7,-2.6,-2.02,-3.16,-1.82,-0.44,-0.4,-0.04,-0.1,0.34,-1.12,
1-Oct-2016,10,2.774,2.996,-0.222,2720187,601760,539447,1488769,90212,296954,39987,18567,2364679,150534,2214145,1748897,187385,191437,622720,3560,743796,-85891,-175368,-31352,129605,-8774,-5213,1387,-1702,-80363,5509,-85872,-55483,-14155,-3524,9726,215,-47745,231449,225671,5753,176466,173455,3000,4012723,-308397,5163,8095,-2936,17949,17711,231,70444,22435,-13921,30728,9.4,8.5,7.7,8.6,1.9,1.7,0.4,6.9,4.8,5,-3.1,-2.72,-5.1,-4.5,-2.38,-4.3,-1.56,-2.6,0.18,-2.78,
1-Nov-2016,11,3.315,2.774,0.541,2678247,571539,553695,1467124,85889,315978,38221,16554,2307494,146894,2160600,1979957,379746,280600,654119,3445,662046,-47973,-175311,-10483,146375,-8553,5733,-2280,-2683,-48743,7136,-55879,-84072,-26864,-2631,15582,207,-70367,231044,221949,9073,227919,194922,32976,3976581,35292,12802,11245,1558,72180,42172,30007,49759,22986,-67336,-53415,22,20.5,19.2,19.2,9.5,11.3,4.8,16.5,10.3,13.8,-1.28,-1.84,-5.66,-7.48,-1.96,-4.34,-4.66,-3.84,-2.38,-3.56,
1-Dec-2016,12,3.761,3.315,0.446,2746543,581295,572343,1505663,87242,331292,39797,17899,2357556,150081,2207475,2665391,794164,462687,734194,3560,670787,-65567,-180518,-12305,135313,-8057,8607,7637,-4446,-77364,5656,-83020,275489,203253,110181,59662,215,-97819,280791,271910,8854,250836,208993,41825,3296944,675541,53534,50297,3236,89082,50438,38653,-369688,411204,-191,67145,33.3,31.4,37.1,40,15.2,21.2,14.4,29.5,19.5,25.1,4.08,4.2,5.8,3.82,2.04,2.78,-0.28,0.3,1.36,2.62,
1-Jan-2017,1,3.117,3.761,-0.644,2723628,525828,550704,1562121,84975,331690,29563,22945,2339431,151984,2187447,2708217,830917,479371,734212,4094,659623,-99476,-112518,-25033,46498,-8423,8358,-12286,397,-95944,-3051,-92893,-172497,-48019,-23722,13041,534,-114331,291656,278666,12955,269960,218600,51342,2622159,674900,18056,17145,907,101439,50130,51316,-315930,-53766,-22232,-22041,33.4,31.4,34.6,38.7,14.7,17.7,12.9,30.7,20.8,24.6,-4.64,-5.52,-5.88,-2.44,-4.68,-7.68,-4.44,2.2,4.8,-2.92,
1-Feb-2017,2,2.774,3.117,-0.343,2493267,472047,505985,1438680,76555,305432,28108,17139,2142588,139196,2003393,2161185,579458,359436,649811,3698,568781,-160575,-144234,-18367,12675,-10649,6216,2827,-1685,-167933,-7891,-160042,-298360,-110619,-54112,-12979,368,-121019,254597,246094,8477,253227,201167,52042,2337331,284935,2822,4075,-1251,90470,41741,48733,-196962,-118156,-41157,-18925,32,27.9,27.5,29,11,13.9,6.8,22.1,17,19.2,-6.44,-8.86,-12.92,-11.1,-6.96,-9.44,-7.46,-2.4,2.92,-6.84,
1-Mar-2017,3,3.096,2.774,0.322,2797117,543939,560762,1607345,85070,334324,19697,17297,2425799,157595,2268204,2324198,579941,371668,696319,4094,672176,-27866,-128310,1007,108097,-8661,13712,-21786,-3615,-16177,2140,-18317,159731,124940,73221,33625,534,-72589,280567,275656,4878,273345,229765,43553,2062505,274439,39803,43492,-3690,78430,44949,33475,-423818,225856,-16745,24412,33.3,29.6,26.8,25.3,11.4,12.2,4.4,14.6,11.5,17.5,4.14,3,0,-0.14,0.54,-1.04,-3.12,-2.08,0.24,0.1,
1-Apr-2017,4,3.043,3.096,-0.053,2689967,517704,520882,1568742,82638,306345,15485,17705,2350432,152698,2197733,1753578,278972,211971,631624,3962,627049,11357,-98317,15847,100060,-6234,33906,-10123,-1304,-11122,2363,-13485,-149923,-49087,-21088,11579,517,-91844,238279,233077,5171,242424,191732,50669,2291250,-230167,-3038,-3445,404,64571,23943,40633,-354310,-65688,-2120,14626,15.1,11.5,11.4,13.5,2.8,2.9,1.5,12,9.3,8,-3.72,-5,-4.92,-2.2,-2.08,-2.7,-0.9,-0.2,0.94,-2.34,
1-May-2017,5,3.145,3.043,0.102,2778965,516713,534122,1643892,84237,310411,20445,19369,2428739,157786,2270953,1710548,199486,178502,628407,4094,700059,11121,-105926,-1997,125541,-6498,12367,-18116,605,16264,4209,12055,-75337,5564,7205,15732,534,-104372,244353,238831,5494,248867,188062,60782,2626507,-340730,-3964,-4257,294,60593,9687,50908,-339759,-12179,20209,22328,10.2,7.8,7.6,6.5,1.5,1.7,0.4,6.7,5.3,4.9,2.96,2.36,2.3,0.52,0.26,0.14,-0.2,0.44,0.56,1,
1-Jun-2017,6,3.037,3.145,-0.108,2688422,506113,486284,1614519,81506,272596,20128,22521,2373176,154176,2219000,1731387,124057,138039,614294,3962,851035,60258,-83744,-1874,150929,-5052,13098,-16919,3190,60888,6977,53911,-93738,1417,-301,23902,517,-119273,239805,234140,5637,253322,200844,52462,2906809,-280799,-2080,-89,-2001,70309,34293,36017,-279224,-58471,-22676,-42884,2.5,1.6,0.6,0.7,0.1,0.1,0,1,1.9,0.8,0.32,0.56,-0.22,-0.06,0.06,0.06,0,-0.14,0.26,0.06,
1-Jul-2017,7,2.944,3.037,-0.093,2753997,518613,463533,1688557,83293,235041,21404,19979,2477573,160958,2316614,1950510,107443,133651,623497,4094,1081826,32787,-84884,-40716,164674,-6289,-39499,5538,-1911,68658,7608,61050,-50526,1023,-958,7017,534,-58142,250508,245292,5189,248801,195201,53592,3054151,-149850,-14514,-13932,-584,60119,22278,37853,-263988,-16783,-32365,-9690,0.3,0,0,0,0,0,0,0,0.2,0,0.22,-0.06,-0.24,-0.22,0,0,0,-0.08,-0.16,-0.04,
1-Aug-2017,8,2.961,2.944,0.017,2769670,517848,475094,1694366,82362,249803,20983,22704,2476180,160868,2315312,1904112,103835,137228,636935,4094,1022019,47039,-72359,-45585,172726,-7743,-32689,-10320,3681,86367,8734,77634,-119117,3380,-3208,9394,534,-129217,247888,239997,7862,247302,201833,45468,3249896,-195625,-14095,-13886,-220,33076,14375,18700,-191429,-71860,-33507,-1142,0.7,0.5,0.5,0.4,0,0,0,0.2,0.1,0.2,0.54,0.34,0.26,0.04,0,0,0,0,-0.08,0.14,
1-Sep-2017,9,2.918,2.961,-0.043,2763285,500187,504550,1677823,80726,276765,22157,26151,2438213,158401,2279811,1737701,114508,144828,615144,3962,859260,137072,-83980,-1001,228862,-6808,3054,-15854,9061,140811,12149,128661,-36711,4726,2797,11276,517,-56026,229444,226769,2650,248916,194183,54733,3567228,-316535,-9047,-8825,-232,46930,8961,37969,-137933,-54148,-44407,-10900,2.4,2.5,2.7,2.4,0.4,0.7,0,3.7,1.7,1.7,-1.14,-0.2,-0.18,-0.46,0.04,0.32,-0.02,1.42,0.4,0.12,
1-Oct-2017,10,2.896,2.918,-0.022,2911373,526830,534911,1766484,83147,301032,21648,24438,2564255,166590,2397665,1838965,205087,200683,656558,4094,772543,191186,-74930,-4536,277715,-7065,4078,-18339,5871,199576,16056,183520,90068,17702,9246,33838,534,28747,241338,238859,2457,279775,199576,80195,3816497,-247451,9889,13188,-3296,103309,26121,77195,-196226,60946,-73823,-29416,7.4,7.4,9.4,12.1,3.5,5.3,2.8,10.5,5.2,6.4,-4.5,-3.2,-2.5,-0.44,-0.12,0.44,1.24,1.64,0.74,-0.74,
1-Nov-2017,11,3.074,2.896,0.178,2897003,496469,534028,1787812,78694,297362,20162,20707,2558771,166233,2392537,2155805,467729,322432,695526,3962,666156,218756,-75070,-19667,320688,-7195,-18616,-18059,4153,251277,19339,231937,175848,87983,41832,41407,517,4110,240314,233906,6378,287727,207607,80100,3709263,85980,9270,11957,-2695,59808,12685,47124,-267318,50688,-69138,4685,24.2,23.2,24.9,26,10.5,13.4,5.9,15.4,10.8,16,0.38,0.44,0.32,0.38,-1,-2,-2.86,-3.96,-0.96,-1.02,
1-Dec-2017,12,2.643,3.074,-0.431,3025419,519127,546583,1877261,82449,317931,20285,24533,2662670,170757,2491914,2858509,821890,486806,760689,4094,785029,278876,-62168,-25760,371598,-4793,-13361,-19512,6634,305114,20676,284439,193118,27726,24119,26495,534,114242,274478,263583,10864,300138,217521,82604,3032602,694748,-6313,-8327,2010,49302,8528,40779,-264342,19207,-114164,-45026,37.7,35.1,38.3,39.2,17.2,23.2,16,26.6,15.3,25.9,7.56,7.08,5.66,1.84,3.76,4.46,1.64,-2.38,-2.92,2.96,
1-Jan-2018,1,3.195,2.643,0.552,2993178,665082,391446,1850680,85970,325211,20550,29102,2618315,177251,2441063,3107734,981276,553970,782206,4282,786001,269550,139254,-159258,288559,995,-6479,-9013,6157,278884,25267,253616,399517,150359,74599,47994,188,126378,299891,283223,16640,300234,227758,72463,2140557,896054,8235,4557,3685,30274,9158,21121,-481602,221154,-12855,101309,39.7,38.9,41.3,43.4,22.4,29.2,20.2,25,13.9,28.6,1.8,2.18,0.88,1.7,3.38,4.2,2.94,-4.44,-3.04,0.94,
1-Feb-2018,2,2.683,3.195,-0.512,2751215,611498,358228,1704589,76900,295921,19008,21938,2414348,163444,2250905,2507085,689887,424203,699106,3867,690022,257948,139451,-147757,265909,345,-9511,-9100,4799,271760,24248,247512,345900,110429,64767,49295,169,121241,237417,230617,6771,275652,201968,73684,1672663,466917,-17180,-15477,-1706,22425,801,21642,-664668,181982,-97773,-84918,30.8,29,34.6,41.1,10.5,13.9,12.6,25.6,16.3,22.1,-7.7,-7.44,-4.86,1.88,-6.86,-8.58,-0.56,1.88,2.12,-3.3,
1-Mar-2018,3,2.691,2.683,0.008,3069284,669220,399671,1915467,84925,315367,25135,24565,2704217,183067,2521151,2576005,659389,417944,737863,4282,756528,272167,125281,-161091,308122,-145,-18957,5438,7268,278418,25472,252947,251807,79448,46276,41544,188,84352,270762,264248,6473,291468,199901,91542,1390280,285033,-9805,-11408,1595,18123,-29864,47989,-672225,10594,-66079,31694,28.5,28.7,26.7,27.4,12.9,14.7,5,22.1,16.7,19.3,-3.04,-0.28,-2.56,-0.28,0.82,0.1,-2.72,5.76,6.18,0.76,
1-Apr-2018,4,2.781,2.691,0.09,2976108,646869,378572,1869862,80805,311039,24091,28437,2612541,176861,2435681,2148089,440848,301841,697338,4144,703919,286141,129165,-142310,301120,-1833,4694,8606,10732,262109,24163,237948,394511,161876,89870,65714,182,76870,242264,239095,3131,278941,193227,85684,1426800,-31771,3985,6018,-2040,36517,1495,35015,-864450,198396,-67478,-1399,23,21.5,22.4,23.7,6.6,10.3,5.2,14.5,10.4,14,4.4,5.84,6.9,7.82,2.16,5.16,2.68,2.02,2.14,4,
1-May-2018,5,2.875,2.781,0.094,3098558,669082,379054,1966679,83743,313734,22444,31713,2730667,184857,2545810,1855856,169019,163748,670722,4282,848085,319593,152369,-155068,322787,-494,3323,1999,12344,301928,27071,274857,145308,-30467,-14754,42315,188,148026,227168,224488,2653,272116,177289,94797,1847454,-423060,-17185,-14343,-2841,23249,-10773,34015,-779053,-82330,-40732,26746,7.2,4.4,4,3.6,0.2,0.1,0.1,5,5.1,3,-0.86,-1.88,-2.18,-3,-1.26,-1.72,-0.58,-1.54,0.26,-1.32,
1-Jun-2018,6,2.939,2.875,0.064,2972738,642749,327376,1922264,80350,260982,23830,31973,2655954,179799,2476154,1867447,119244,142401,649104,4144,952554,284316,136636,-158908,307745,-1156,-11614,3702,9452,282778,25623,257154,136060,-4813,4362,34810,182,101519,228469,225537,2904,261995,188431,73535,2195227,-348552,-11336,-8603,-2733,8673,-12413,21073,-711582,-67753,-45921,-5189,2.4,1.2,0.3,0.2,0,0,0,1.1,1.9,0.6,0.28,0.1,-0.46,-0.56,-0.04,-0.04,0,0.02,0.42,-0.08,
1-Jul-2018,7,2.782,2.939,-0.157,3138242,666257,343438,2045869,82679,261852,24356,52888,2799146,189493,2609653,2139037,105918,137574,667748,4282,1223514,384245,147644,-120095,357312,-614,26811,2952,32909,321573,28535,293039,188527,-1525,3923,44251,188,141688,247012,241382,5602,305997,207736,98240,2381269,-186378,-3496,-3910,413,57196,12535,44648,-672882,-36528,-82055,-36135,0,0,0,0.1,0,0,0,0.1,0.3,0,-0.14,-0.06,-0.24,-0.12,0,0,0,0.02,0.02,-0.04,
